country,gold,silver,bronze,total
United States,1235,1013,887,3135
Soviet Union,473,376,355,1204
Germany,367,390,374,1131
Great Britain,326,361,366,1053
France,303,334,378,1015
People's Republic of China,285,231,197,713
Italy,283,257,289,829
Sweden,220,237,251,708
Norway,212,189,176,577
Japan,206,190,224,620
Russian Federation,194,169,188,551
Hungary,192,170,192,554
East Germany,192,165,162,519
Australia,186,196,234,616
Netherlands,166,163,184,513
Canada,157,191,232,580
Finland,151,152,186,489
Republic of Korea,129,121,116,366
Switzerland,124,136,137,397
Austria,98,128,140,366
Romania,93,101,124,318
Cuba,86,70,88,244
Poland,83,102,154,339
West Germany,67,82,94,243
New Zealand,65,42,56,163
Bulgaria,58,91,88,237
Spain,54,77,61,192
Unified Team,54,44,37,135
Denmark,53,88,89,230
Belgium,53,61,77,191
Czechoslovakia,51,58,62,171
Greece,45,60,60,165
Ukraine,41,43,76,160
Türkiye,41,29,41,111
Brazil,40,49,81,170
China,40,27,24,91
Kenya,39,44,41,124
Czechia,32,33,41,106
ROC,28,46,46,120
South Africa,28,37,32,97
Jamaica,27,39,28,94
Yugoslavia,26,32,29,87
Islamic Republic of Iran,24,23,29,76
Ethiopia,24,15,23,62
Argentina,22,27,31,80
Belarus,21,37,47,105
Croatia,20,21,18,59
Uzbekistan,19,8,23,50
Kazakhstan,16,27,43,86
Democratic People's Republic of Korea,16,17,24,57
